age,hours.per.week,marital_grouped_num,occupation_grouped_num,relationship_grouped_num,race_num,sex_num,income_numeric,education_group
68,60,1,1,1,1,1,2,5
49,40,1,4,1,1,2,2,3
36,60,1,1,1,1,1,1,3
70,12,1,3,1,1,1,2,5
27,20,1,4,1,2,2,1,3
35,40,1,1,1,1,1,1,3
23,40,1,2,1,1,1,1,3
81,26,1,1,1,1,1,2,3
66,25,1,2,1,1,1,2,5
71,45,1,1,1,1,1,2,3
68,55,1,2,1,1,1,2,3
68,42,1,1,1,1,1,2,5
65,40,1,1,1,1,1,2,5
52,40,1,2,1,2,1,1,3
40,50,1,3,1,1,1,1,4
68,35,1,1,1,1,1,2,5
21,48,1,1,1,1,1,1,3
35,40,1,3,1,1,1,1,3
70,50,1,1,1,1,1,2,5
61,50,1,4,1,1,1,1,3
65,65,1,4,1,1,1,1,3
46,45,0,3,2,1,2,1,1
26,55,0,1,2,1,1,1,5
59,40,0,4,2,1,1,1,3
61,40,0,3,2,2,1,1,1
60,40,0,1,2,1,2,1,5
49,50,0,1,2,1,1,1,3
34,40,0,3,2,3,1,1,5
25,35,0,1,3,1,2,1,5
55,45,0,4,2,2,2,1,3
59,40,0,2,3,2,2,1,3
28,40,0,1,3,1,1,1,3
43,36,0,1,2,1,2,1,4
56,60,0,2,2,1,2,1,5
41,40,0,3,2,1,1,1,3
40,35,0,2,2,1,2,1,5
69,40,0,1,2,1,1,2,5
66,40,1,3,1,1,1,1,3
69,40,1,3,1,1,1,1,1
55,40,1,1,1,1,2,1,5
57,40,0,4,2,1,1,1,3
20,10,0,4,3,1,1,1,3
33,84,0,3,2,1,1,1,3
38,55,0,3,2,1,1,2,3
46,38,0,4,2,1,1,2,4
29,45,0,1,2,1,2,2,5
57,40,0,4,2,1,1,1,5
39,42,0,3,3,1,1,2,3
47,40,0,1,2,1,1,2,5
26,45,0,1,2,1,1,2,5
27,50,0,3,2,1,1,1,3
23,40,0,1,3,1,2,2,5
34,50,0,1,2,1,1,1,5
33,42,0,3,2,1,1,1,2
38,60,0,1,2,1,2,1,5
57,38,0,4,2,1,2,2,3
36,70,0,1,2,1,1,1,3
44,40,0,4,2,1,1,2,5
49,50,0,1,2,1,2,2,5
44,60,0,2,2,1,1,1,3
55,62,0,4,2,1,1,2,3
45,44,0,4,2,1,1,2,3
48,40,0,1,2,1,2,2,3
31,45,1,1,1,1,1,2,5
55,40,1,1,3,1,2,2,3
70,40,1,1,1,1,1,2,3
70,8,1,1,1,1,1,2,5
73,40,1,1,1,1,1,2,5
72,28,1,1,1,1,1,2,5
31,40,0,3,2,1,2,1,3
28,35,0,4,2,1,2,1,2
23,40,0,4,3,1,1,2,5
49,40,0,3,2,1,1,2,2
27,40,0,2,2,1,1,2,3
90,40,0,2,2,2,1,1,3
68,30,0,4,2,1,2,1,3
65,10,0,1,2,1,2,1,3
67,5,0,1,2,1,2,1,5
66,25,0,1,2,2,2,1,5
24,24,0,4,2,1,1,1,3
44,35,0,3,2,1,1,1,3
35,40,0,4,3,1,2,1,3
20,18,0,2,3,1,2,1,4
38,40,0,3,2,1,1,1,3
39,40,0,2,3,2,2,1,3
42,40,0,3,2,2,1,1,1
63,40,0,1,2,1,2,1,3
64,40,1,3,1,1,1,1,2
41,40,1,3,1,1,1,1,1
58,18,1,3,1,1,1,1,1
59,40,1,1,1,1,1,1,3
34,12,1,4,1,1,2,1,3
45,45,1,3,1,1,1,1,3
29,40,1,4,1,1,2,1,3
47,52,1,2,1,1,1,1,2
40,40,1,3,1,1,1,1,3
63,45,1,1,1,1,1,1,5
41,40,1,3,1,1,1,1,3
34,40,1,3,1,2,1,1,3
66,40,1,1,1,1,1,2,5
65,10,1,1,1,1,1,2,3
70,40,1,3,1,1,1,2,3
75,50,1,1,1,1,1,2,5
65,40,1,4,1,1,1,2,3
65,40,1,1,1,2,1,2,3
73,50,1,1,1,1,1,2,3
68,40,1,1,1,1,1,1,4
74,20,1,2,1,1,1,1,3
43,72,1,3,1,3,2,1,1
19,55,1,3,3,1,1,1,2
37,40,1,3,1,1,1,1,3
30,40,1,3,1,1,1,1,3
35,40,1,3,1,1,1,1,2
29,20,1,4,1,1,2,1,3
34,40,1,4,1,1,2,1,3
41,60,1,3,1,1,1,1,3
35,45,1,3,1,1,1,1,3
26,40,1,4,1,1,1,1,3
54,50,1,3,1,1,1,1,3
52,40,1,3,1,1,1,1,3
50,20,1,4,1,1,1,1,3
31,40,1,4,1,1,1,1,3
38,40,1,3,1,1,1,1,3
30,40,1,3,1,1,1,1,3
34,40,1,1,1,1,1,1,5
31,57,1,2,1,1,1,1,3
52,38,1,3,1,1,1,1,3
54,40,1,3,1,1,1,1,3
38,44,1,3,1,1,1,1,3
39,40,1,3,1,1,1,1,3
29,40,1,4,1,1,1,1,4
45,40,1,3,1,1,1,1,3
34,55,1,3,1,1,1,1,3
39,40,1,3,1,1,1,1,2
61,20,1,3,1,1,1,1,3
43,40,1,3,1,1,1,1,2
35,40,1,3,1,1,1,1,3
46,50,1,2,1,1,1,1,3
38,40,1,3,1,1,1,1,3
42,48,1,3,1,1,1,1,3
34,10,1,4,1,1,1,1,4
29,40,1,4,1,1,1,1,1
32,30,1,3,1,1,1,1,2
60,34,1,2,1,1,1,1,3
49,40,1,3,1,1,1,1,3
53,45,1,2,1,1,1,1,3
56,40,1,3,1,1,1,1,1
48,40,1,3,1,1,1,1,2
42,40,1,3,1,1,1,1,3
32,42,1,1,1,1,1,1,4
26,40,1,3,1,1,1,1,4
59,50,1,1,1,1,1,1,5
47,30,1,1,1,1,1,1,5
26,40,1,1,1,1,1,1,5
41,60,1,3,1,1,1,1,3
36,40,1,3,3,1,2,1,3
45,55,1,2,1,1,1,1,5
30,40,1,1,1,1,1,1,4
36,40,1,3,1,1,1,1,3
34,40,1,1,1,1,1,1,3
53,40,1,3,1,1,1,1,3
51,45,1,2,1,1,1,1,3
47,45,1,3,1,1,1,1,5
19,40,0,1,2,1,1,1,3
30,42,0,4,2,1,1,1,3
20,40,0,2,2,1,1,1,3
42,60,0,4,2,1,1,1,5
31,40,0,3,2,1,1,1,2
33,40,0,3,2,1,1,1,5
25,30,0,4,2,1,2,1,4
20,40,0,2,2,1,1,1,3
23,40,0,4,3,2,1,1,3
55,40,0,1,2,2,2,1,3
41,50,0,3,2,1,1,1,3
54,35,0,3,2,1,1,1,3
25,50,0,3,2,1,1,1,3
19,40,0,4,3,1,2,1,3
24,37,0,4,2,1,2,1,3
56,65,0,3,2,2,1,1,5
21,40,0,2,2,1,2,1,3
34,40,0,3,2,2,1,1,3
19,40,0,4,3,1,1,1,3
21,45,0,1,2,1,1,1,3
48,40,0,4,2,1,2,1,3
34,40,0,2,2,1,1,1,5
31,40,0,4,2,1,1,1,3
36,40,0,2,2,2,2,1,3
27,40,0,2,2,1,1,1,3
35,65,0,2,2,1,2,1,5
31,60,0,1,2,1,1,1,5
27,40,0,3,2,2,1,1,3
28,40,0,4,2,1,2,1,4
42,46,0,3,2,1,1,1,3
41,56,0,2,2,1,1,1,5
28,35,0,4,2,1,2,1,5
41,40,0,4,2,1,2,1,3
35,40,0,2,2,2,2,1,2
58,45,0,4,2,1,2,1,5
40,48,0,3,2,1,1,1,3
31,60,0,3,3,1,1,1,4
30,40,0,2,2,1,2,1,3
32,40,0,4,2,5,1,1,3
25,40,0,4,2,1,1,1,3
34,40,0,3,3,1,1,1,3
56,40,0,1,2,1,2,1,3
45,40,0,2,2,1,1,1,3
50,40,0,4,2,1,1,1,3
27,40,0,2,3,1,1,1,2
51,40,1,2,1,1,1,2,3
40,60,1,4,1,1,1,2,4
41,65,1,1,1,1,1,2,5
49,45,1,1,1,1,1,2,5
37,40,1,3,1,1,1,2,4
36,45,1,1,1,1,2,2,5
35,80,1,1,1,1,1,2,5
29,25,1,2,1,1,2,2,3
50,40,1,1,1,1,2,2,5
46,40,1,2,1,1,1,2,5
44,45,1,1,1,1,1,2,3
42,40,1,1,1,1,1,2,5
38,50,1,1,1,1,1,2,5
45,55,1,1,1,1,1,2,5
43,60,1,1,1,1,1,2,5
47,60,1,1,1,1,1,2,5
58,50,1,1,1,1,1,2,5
48,40,1,4,1,1,1,2,5
42,48,1,1,1,1,1,2,5
55,50,1,1,1,1,1,2,5
51,40,1,2,1,1,1,2,2
32,40,1,1,1,2,1,2,5
45,50,1,1,1,1,1,2,5
56,44,1,3,1,1,1,2,5
38,60,1,1,1,1,1,2,5
45,50,1,2,1,1,1,2,4
49,40,1,1,1,1,2,2,5
36,40,1,1,1,1,1,2,3
49,40,1,1,1,1,1,2,5
42,50,1,1,1,1,1,2,5
55,40,1,1,1,1,1,2,5
34,45,1,1,1,1,1,2,5
54,50,1,1,1,1,1,2,5
42,70,1,1,1,1,1,2,5
25,40,1,1,1,1,1,2,5
55,45,1,1,1,1,1,2,3
58,50,1,1,1,1,1,2,5
62,60,1,3,1,1,1,2,3
43,40,1,1,1,1,1,2,5
57,40,1,1,1,2,2,2,5
42,60,1,1,1,1,1,2,5
47,50,1,1,1,1,1,2,5
37,50,1,1,1,1,1,2,5
40,60,1,2,1,1,1,2,5
43,50,1,1,1,1,1,2,5
43,70,1,1,1,1,1,2,5
41,60,1,1,1,1,1,2,5
32,60,1,1,1,1,1,2,5
47,40,1,2,1,1,1,2,5
39,60,1,3,1,1,1,2,3
53,40,1,1,1,1,1,2,3
34,45,1,1,1,1,1,2,5
36,40,1,1,1,1,1,2,5
47,41,1,1,1,1,1,2,5
52,45,1,1,1,1,1,2,4
40,60,1,1,1,5,1,2,5
42,40,1,1,1,1,1,2,5
51,40,1,2,1,1,1,2,5
55,20,1,4,1,1,1,2,5
38,99,1,2,1,1,1,2,3
52,50,1,1,1,1,1,2,3
60,40,1,4,1,1,1,2,3
47,50,1,1,1,2,1,2,5
46,40,1,4,1,1,1,2,5
35,45,1,1,1,1,1,2,5
59,50,1,1,1,1,1,2,5
57,45,1,1,1,1,1,2,5
46,50,1,1,1,1,1,2,3
46,40,1,1,1,1,1,2,5
52,40,1,3,1,1,1,2,3
45,30,1,1,1,1,2,2,5
37,40,1,4,1,1,1,2,5
46,45,1,1,1,1,1,2,5
44,50,1,1,1,2,1,2,5
45,50,1,1,1,1,1,2,4
43,52,1,3,1,1,1,2,3
54,40,1,1,1,1,1,2,5
50,40,1,1,1,1,1,2,5
51,60,1,1,1,1,1,2,5
45,40,1,1,1,1,1,2,5
36,60,1,1,1,1,1,2,5
27,50,1,1,1,1,1,2,5
36,35,1,2,1,1,1,2,5
53,55,1,1,1,1,1,2,5
51,35,1,1,1,1,1,2,5
28,24,1,1,1,1,2,2,5
47,40,1,3,1,1,1,2,3
45,60,1,1,1,1,1,2,5
45,35,1,1,1,1,2,2,5
39,50,1,1,1,1,1,2,5
39,40,1,1,1,1,1,2,5
55,40,1,1,1,1,1,2,5
62,98,1,1,1,1,1,2,3
53,40,1,1,1,1,1,2,5
31,48,1,1,1,1,1,2,5
60,45,1,1,1,1,1,2,5
26,40,1,1,1,1,1,2,5
37,40,1,1,1,1,1,2,5
45,60,1,1,1,1,1,2,5
37,45,1,2,1,1,1,2,4
32,45,1,2,1,1,1,2,5
39,40,1,1,1,1,1,2,3
58,35,1,3,1,1,2,2,2
45,43,1,1,1,1,1,2,5
41,45,1,1,1,1,1,2,5
36,65,1,4,1,1,1,2,3
51,60,1,1,1,1,1,2,5
39,62,1,1,1,1,1,2,3
56,50,1,1,1,1,1,2,5
53,40,1,4,1,2,1,2,3
40,15,1,1,1,1,2,2,4
57,40,1,1,1,2,1,2,5
50,35,1,3,1,1,1,2,3
34,55,1,1,1,1,1,2,5
35,30,1,1,1,1,2,2,5
30,15,1,1,1,1,1,2,3
53,55,1,1,1,1,1,2,5
31,70,1,1,1,1,1,2,5
37,60,1,1,1,1,1,2,5
34,50,1,2,1,1,1,2,5
36,50,1,1,1,1,1,2,5
40,50,1,1,1,1,1,2,5
51,60,1,3,1,1,1,2,3
33,45,1,2,1,1,1,2,3
40,20,1,1,1,1,2,2,5
50,63,1,3,1,1,1,2,1
46,60,1,2,1,1,1,2,5
54,50,1,1,1,1,1,2,5
39,24,1,1,1,1,2,2,5
54,40,1,2,1,1,1,2,3
31,99,1,1,1,1,1,2,5
51,50,1,1,1,1,1,2,5
55,55,1,1,1,1,1,2,5
56,50,1,1,1,1,2,2,3
38,40,1,4,1,1,1,2,5
47,45,1,3,1,1,1,2,3
39,45,1,1,1,1,1,2,5
59,50,1,1,1,1,1,2,5
54,43,1,1,1,1,1,2,5
54,35,1,1,1,1,2,2,5
31,55,1,1,1,1,1,2,5
59,48,1,1,1,1,1,2,3
46,50,1,1,1,1,1,2,5
36,44,1,1,1,1,2,2,5
44,40,1,3,1,1,1,2,5
33,50,1,1,1,1,1,2,5
54,18,1,4,1,1,1,2,3
55,60,1,1,1,1,1,2,5
36,50,1,2,1,1,1,2,5
49,60,1,1,1,1,2,2,5
41,50,1,1,1,1,1,2,5
43,50,1,1,1,1,1,2,5
39,20,1,1,1,1,2,2,5
26,40,1,1,1,1,2,2,5
48,45,1,1,1,1,1,2,5
43,50,1,1,1,1,1,2,5
42,60,1,1,1,1,1,2,5
36,45,1,1,1,1,1,2,5
39,40,0,1,2,1,1,1,5
21,40,0,1,3,3,1,1,3
23,40,0,2,2,1,2,1,3
47,40,0,1,2,1,2,1,3
30,40,0,4,3,1,2,1,3
35,40,0,3,2,1,1,1,3
26,40,0,4,2,1,2,1,3
26,55,0,1,2,1,1,1,5
41,40,0,1,2,1,1,1,5
30,40,0,2,2,2,1,1,3
28,40,0,3,2,1,1,1,3
56,40,0,2,2,1,2,1,3
35,40,0,3,3,1,1,1,3
34,40,0,4,2,1,2,1,4
29,35,0,3,2,1,1,1,3
23,20,0,4,3,1,2,1,4
24,40,0,4,2,1,2,1,3
62,40,0,4,2,1,1,1,3
77,1,0,4,2,1,2,1,3
48,60,1,1,1,1,1,2,5
42,50,1,1,1,1,1,2,5
31,40,1,4,1,1,1,2,5
50,65,1,1,1,1,1,2,5
36,50,1,1,1,1,1,2,5
49,40,1,1,1,1,1,2,5
38,40,1,3,1,1,1,2,3
48,46,1,1,1,1,2,2,5
46,40,1,1,1,1,1,2,5
56,60,1,2,1,1,1,2,3
37,45,1,1,1,1,1,2,3
51,40,1,3,1,2,1,2,3
43,40,1,1,1,1,1,2,5
46,40,1,3,1,1,1,1,3
42,60,1,1,1,1,1,2,5
45,35,1,4,1,1,2,2,3
23,40,1,3,1,1,1,1,3
45,40,1,2,1,1,1,2,5
30,40,1,4,1,1,1,1,3
49,60,1,1,1,2,1,2,5
49,40,1,2,1,1,2,2,4
42,80,1,4,1,1,1,2,5
43,40,1,4,1,1,2,2,3
43,40,1,1,1,1,1,2,3
42,60,1,1,1,1,1,2,5
53,55,1,1,1,1,1,2,5
40,48,1,1,1,1,1,2,5
46,40,1,4,1,1,1,2,5
41,60,1,1,1,1,1,2,5
49,40,1,3,1,1,1,2,5
34,50,1,1,1,1,1,2,5
50,38,1,4,1,1,2,2,3
54,40,1,3,1,3,1,2,3
49,50,1,4,1,1,1,2,3
44,60,1,1,1,1,2,2,5
57,40,1,1,1,1,1,2,5
28,55,1,1,1,1,2,1,5
57,40,1,2,1,1,1,2,3
59,43,1,1,1,1,1,2,5
38,40,1,1,1,1,2,2,4
36,60,1,4,1,1,1,2,3
55,40,1,1,1,1,1,2,3
34,60,1,2,1,1,1,2,3
51,50,1,2,1,1,1,2,3
31,35,1,1,1,1,2,2,5
31,35,1,1,1,1,2,2,5
59,52,1,1,1,1,1,2,3
48,40,1,2,1,1,1,2,4
33,45,1,1,1,1,1,2,5
46,50,1,3,1,1,1,2,3
53,40,1,1,1,2,1,2,5
39,18,1,1,1,1,2,2,5
44,40,1,1,1,1,1,2,3
45,50,1,1,1,1,1,2,5
42,40,1,2,1,1,1,2,5
24,40,1,3,1,1,1,2,1
57,40,1,2,1,1,1,2,5
51,40,1,1,1,1,1,2,5
50,40,1,1,1,1,1,2,5
50,50,1,4,1,1,1,2,5
46,42,1,2,1,1,1,2,5
44,40,1,2,1,3,1,2,3
47,45,1,1,1,1,1,2,5
36,45,1,2,1,1,1,2,5
34,38,1,1,1,1,1,2,3
49,50,1,1,1,1,1,2,5
45,45,1,2,1,1,1,2,5
46,50,1,1,1,1,1,2,5
53,48,1,1,1,1,1,2,5
63,50,1,1,1,1,1,2,5
52,40,1,1,1,1,1,2,5
44,40,1,1,1,2,1,2,5
37,40,1,2,1,1,1,2,5
44,40,1,1,1,1,1,2,5
53,40,1,1,1,1,1,2,5
32,40,1,4,1,1,1,2,5
50,45,1,1,1,1,1,2,5
50,40,1,3,1,1,1,2,4
33,55,1,2,1,1,1,2,5
50,40,1,1,1,1,2,2,5
32,32,1,1,1,1,2,2,5
41,40,1,1,1,1,1,2,3
54,55,1,1,1,1,1,2,3
34,50,1,2,1,2,1,2,4
41,55,1,1,1,1,1,2,5
39,50,1,1,1,1,1,2,5
42,40,1,1,1,1,1,2,5
31,45,1,2,1,1,1,2,5
45,42,1,1,1,1,1,2,4
41,42,1,4,1,1,1,2,5
48,38,1,1,1,1,2,2,5
32,55,1,4,1,1,1,2,3
41,40,1,3,1,2,1,2,3
31,40,1,1,1,1,2,2,5
41,40,1,1,1,1,2,2,3
48,40,1,1,1,1,1,2,5
60,40,1,1,1,1,1,2,5
38,65,1,1,1,3,1,2,5
46,40,1,3,1,5,1,1,1
28,55,1,2,1,1,1,2,3
64,60,1,1,1,1,1,2,5
31,20,1,1,1,1,2,2,5
42,50,1,1,1,1,1,2,5
43,32,1,4,1,1,2,2,4
61,35,1,2,1,1,1,2,3
46,45,1,1,1,1,1,2,5
44,50,1,1,1,1,1,2,5
39,50,1,1,1,1,1,2,3
46,40,1,2,1,1,1,2,5
48,50,1,1,1,1,1,2,5
27,40,1,3,1,1,1,2,2
22,37,1,2,1,1,1,1,3
51,40,1,1,1,1,1,1,5
48,40,1,2,1,1,1,2,3
52,40,1,3,1,1,1,2,4
31,40,1,3,1,1,1,2,3
53,40,1,4,1,1,1,2,5
51,60,1,1,1,1,1,2,5
46,52,1,1,1,1,2,2,5
25,36,1,4,1,2,1,2,3
46,40,1,3,1,2,1,2,3
57,30,1,2,1,1,1,2,3
44,50,1,1,1,1,1,2,5
42,50,1,3,1,1,1,2,3
42,40,1,4,1,1,1,2,5
30,55,1,1,1,1,1,2,5
54,50,1,1,1,1,1,2,5
46,45,1,1,1,1,1,2,5
33,50,1,4,1,1,1,2,5
38,50,1,1,1,1,1,2,3
50,45,1,3,1,1,1,2,5
46,40,1,3,1,1,1,2,2
41,35,1,2,1,1,2,2,5
56,65,1,1,1,1,1,2,5
39,50,1,1,1,1,1,2,5
46,50,1,1,1,1,1,2,5
48,40,1,3,1,1,1,1,1
56,60,1,3,1,1,1,2,3
49,60,1,1,1,1,1,2,3
61,40,1,1,1,1,1,2,5
43,40,1,3,1,1,1,2,3
37,50,1,3,1,1,1,1,3
43,40,1,3,1,1,1,2,5
41,40,1,2,1,1,1,2,3
61,40,1,1,1,1,1,2,3
30,40,1,4,1,1,1,2,5
58,40,1,2,1,1,1,2,3
40,40,1,1,1,1,1,2,3
44,40,1,1,1,1,1,2,5
40,32,1,1,1,1,1,2,5
58,40,1,3,1,1,1,1,3
48,40,1,3,1,1,1,2,3
49,40,1,3,1,1,1,1,3
50,50,1,1,1,1,1,2,5
43,55,1,2,1,1,1,2,5
53,40,1,3,1,1,1,2,3
42,50,1,1,1,1,1,2,5
56,40,1,2,1,1,1,2,3
44,56,1,1,1,1,1,2,5
29,50,1,1,1,1,2,2,5
35,40,1,2,1,1,1,2,3
44,40,1,2,1,1,1,2,3
34,48,1,2,1,1,1,2,5
43,40,1,1,1,1,1,2,5
57,45,1,1,1,1,1,1,4
50,60,1,1,1,2,1,2,5
45,40,1,3,1,1,1,2,3
32,60,1,1,1,1,1,2,5
33,45,1,4,1,1,1,2,5
43,15,1,1,1,1,1,2,3
32,50,1,2,1,1,1,2,3
36,48,1,3,1,1,1,2,3
50,60,1,2,1,1,1,2,3
27,45,1,3,1,1,1,1,3
60,40,1,1,1,1,1,2,5
53,50,1,1,1,1,1,2,5
61,40,1,1,1,1,1,2,5
32,40,1,2,1,1,1,2,5
37,55,1,1,1,1,1,2,3
33,40,1,4,1,1,2,2,3
57,40,1,2,1,1,1,2,5
43,99,1,3,1,1,1,2,3
50,40,1,1,1,1,1,2,3
43,40,1,3,1,1,1,2,3
45,40,1,2,1,1,1,2,3
37,45,1,2,1,1,1,2,3
31,43,1,1,1,1,1,2,5
33,50,1,3,1,1,1,2,4
43,50,1,1,1,1,2,2,3
28,40,1,1,1,1,2,2,3
52,47,1,3,1,1,1,2,2
38,40,1,1,1,1,1,2,5
40,40,1,3,1,2,1,2,1
57,40,1,3,1,1,1,2,3
41,50,1,3,1,1,1,2,3
37,50,1,1,1,1,1,2,3
42,40,1,3,1,1,1,2,3
44,35,1,1,1,1,1,2,5
39,50,1,1,1,1,1,2,5
51,65,1,1,1,1,1,2,3
38,50,1,1,1,1,1,2,5
43,40,1,2,1,1,1,2,3
33,60,1,1,1,1,1,2,4
43,40,1,2,1,1,1,2,5
35,45,1,1,1,1,1,2,5
41,50,1,1,1,1,1,2,3
45,40,1,3,1,1,1,2,3
59,40,1,3,1,1,1,2,3
30,45,1,1,1,1,1,2,5
32,45,1,2,1,1,1,2,5
39,60,1,2,1,1,1,2,5
43,70,1,1,1,1,2,2,5
32,55,1,1,1,1,1,2,5
39,40,1,2,1,1,1,2,3
37,40,1,1,1,1,1,2,5
34,40,1,1,1,1,2,2,3
46,45,1,4,1,1,1,2,3
51,40,1,1,1,1,1,2,5
29,55,1,2,1,1,1,2,3
34,40,1,1,1,1,2,2,5
50,35,1,3,1,1,1,2,3
34,40,1,3,1,1,1,2,3
58,40,1,3,1,1,1,2,2
56,67,1,1,1,1,1,2,1
34,48,1,1,1,2,1,2,5
36,40,1,1,1,1,1,2,5
46,40,1,3,1,1,1,2,3
35,50,1,1,1,3,1,2,5
50,40,1,1,1,1,1,2,3
27,45,1,1,1,1,1,2,5
44,70,1,1,1,1,1,2,3
39,46,1,2,1,1,1,2,3
33,20,1,4,1,1,2,2,3
59,40,1,3,1,1,1,2,3
59,55,1,3,1,1,1,2,3
51,40,1,2,1,1,1,2,3
37,40,1,3,1,1,1,2,4
25,40,1,1,1,1,2,2,4
54,65,1,3,1,1,1,2,3
47,40,1,3,1,1,1,2,3
40,40,1,1,1,1,1,2,5
27,60,1,3,1,1,1,2,5
31,40,1,1,1,2,1,2,5
41,55,1,2,1,1,1,2,3
41,45,1,3,1,1,1,2,3
50,55,1,1,1,2,1,2,3
36,40,1,3,1,1,1,2,3
27,40,1,4,1,2,2,2,3
46,40,1,2,1,1,1,2,3
61,40,1,1,1,1,1,2,3
39,40,1,1,1,1,1,2,5
47,45,1,3,1,1,1,2,3
45,40,1,3,1,1,1,2,3
55,40,1,4,1,1,2,2,3
38,45,1,1,1,1,1,2,2
57,55,1,2,1,1,1,2,5
38,40,1,2,1,1,1,2,2
28,40,1,4,1,1,1,2,5
40,40,1,3,1,1,1,2,3
36,50,1,1,1,1,1,2,5
36,60,1,3,1,1,1,2,3
30,50,1,1,1,1,1,2,3
35,42,1,4,1,1,2,2,3
32,60,1,3,1,1,1,2,3
55,40,1,3,1,1,1,2,3
29,30,1,3,1,1,1,2,3
37,40,1,2,1,1,1,2,4
36,50,1,1,1,1,1,2,4
42,48,1,1,1,1,2,2,5
40,50,1,1,1,1,1,2,5
26,40,1,1,1,1,1,2,5
44,60,1,1,1,1,1,2,5
47,40,1,1,1,1,1,2,5
